id,image,title,description,runtimeStr,genres,genreList,contentRating,imDbRating,imDbRatingVotes,metacriticRating,plot,stars,starList
tt5684466,https://m.media-amazon.com/images/M/MV5BMzFjZTVhODktNGE0Ni00MGZmLTk1M2QtZGQyZDU4Mzc1ZTYxXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_Ratio0.6837_AL_.jpg,A Aa,(2016),152 min,"Comedy, Drama, Romance","[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Romance', 'value': 'Romance'}]",,6.8,3205,,Anand and Anasuya meet each other on a train ride. The two eventually fall in love and have to fight for their relationship.,"Trivikram Srinivas, Nithiin, Samantha Ruth Prabhu, Anupama Parameswaran, Nadia Moidu","[{'id': 'tt5684466', 'name': 'Trivikram Srinivas'}, {'id': 'tt5684466', 'name': 'Nithiin'}, {'id': 'tt5684466', 'name': 'Samantha Ruth Prabhu'}, {'id': 'tt5684466', 'name': 'Anupama Parameswaran'}, {'id': 'tt5684466', 'name': 'Nadia Moidu'}]"
tt14333020,https://imdb-api.com/images/original/nopicture.jpg,A Aa E Ee,(2006),103 min,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",,,,,,"N.R. Nanjunde Gowda, Ramesh Aravind, Jayaram, Sandesh Swamy","[{'id': 'tt14333020', 'name': 'N.R. Nanjunde Gowda'}, {'id': 'tt14333020', 'name': 'Ramesh Aravind'}, {'id': 'tt14333020', 'name': 'Jayaram'}, {'id': 'tt14333020', 'name': 'Sandesh Swamy'}]"
tt2009407,https://m.media-amazon.com/images/M/MV5BMDczM2M1YmMtYTUwYi00OWQ2LThmNWEtODQ0YmRlZTAzNjVlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_Ratio0.7449_AL_.jpg,A Aa E Ee,(2009),137 min,Family,"[{'key': 'Family', 'value': 'Family'}]",Not Rated,5.9,43,,The movie is a tale of two loves tested to the hilt by social constrains and of course some serious lapses in communication.,"Sabapathy, Dekshinamurthy Sabapathy, Navdeep, Mounika, Saranya Mohan, Aravind Akash","[{'id': 'tt2009407', 'name': 'Sabapathy'}, {'id': 'tt2009407', 'name': 'Dekshinamurthy Sabapathy'}, {'id': 'tt2009407', 'name': 'Navdeep'}, {'id': 'tt2009407', 'name': 'Mounika'}, {'id': 'tt2009407', 'name': 'Saranya Mohan'}, {'id': 'tt2009407', 'name': 'Aravind Akash'}]"
tt9614722,https://imdb-api.com/images/original/nopicture.jpg,AA Anonymous,,,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",,,,,,,
tt7504214,https://m.media-amazon.com/images/M/MV5BMzZhNWQzZjUtMWJiYS00YjNjLWIxZWQtOGMwNzI3ZjE0MTZiXkEyXkFqcGdeQXVyNjc0NTgxNzc@._V1_Ratio0.6837_AL_.jpg,AA BB KK,(2018),121 min,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",,8.8,414,,"A girl is the replica of a goddess, but in reality sometimes the truth is fearful. Even today a newborn girl child is killed in the milk barrel filled till the brim or is crushed beneath ... See full summary","Ramkumar Shedge, Shravani Abhang, Sajid Ali, Tamannaah Bhatia, Bhakti Chavan","[{'id': 'tt7504214', 'name': 'Ramkumar Shedge'}, {'id': 'tt7504214', 'name': 'Shravani Abhang'}, {'id': 'tt7504214', 'name': 'Sajid Ali'}, {'id': 'tt7504214', 'name': 'Tamannaah Bhatia'}, {'id': 'tt7504214', 'name': 'Bhakti Chavan'}]"
tt7172810,https://imdb-api.com/images/original/nopicture.jpg,AA gôto hikoshî,(1928),,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",,,,,,"Torao Morimoto, Akira Maki, Chieko Naniwa","[{'id': 'tt7172810', 'name': 'Torao Morimoto'}, {'id': 'tt7172810', 'name': 'Akira Maki'}, {'id': 'tt7172810', 'name': 'Chieko Naniwa'}]"
tt7133248,https://m.media-amazon.com/images/M/MV5BZjRjNzJmOWEtZDRjMC00Yzc5LWJmYjctYzAyNjA4ZmQ4YTNhXkEyXkFqcGdeQXVyMzU1OTczNjI@._V1_Ratio1.5612_AL_.jpg,AAS: Uttarakhandi Film,(2017),61 min,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",,7.8,6,,,"Rahul Singh Bora, Anamika Bisht, Rajkumar Bisht, Deepak Khatri, Ram Mehta","[{'id': 'tt7133248', 'name': 'Rahul Singh Bora'}, {'id': 'tt7133248', 'name': 'Anamika Bisht'}, {'id': 'tt7133248', 'name': 'Rajkumar Bisht'}, {'id': 'tt7133248', 'name': 'Deepak Khatri'}, {'id': 'tt7133248', 'name': 'Ram Mehta'}]"
tt2321165,https://m.media-amazon.com/images/M/MV5BZjgyYWYyZjEtMWRlMy00MzExLWJjNTMtOWFhODM3MGMyMGI0XkEyXkFqcGdeQXVyMTc3MDAzMQ@@._V1_Ratio0.6837_AL_.jpg,Aa,(2012),118 min,,,,,,,,"Ignacio Dimattia, Ana Arzoumanian, Adriana Kalaidjian, Carolyn Kaprielian","[{'id': 'tt2321165', 'name': 'Ignacio Dimattia'}, {'id': 'tt2321165', 'name': 'Ana Arzoumanian'}, {'id': 'tt2321165', 'name': 'Adriana Kalaidjian'}, {'id': 'tt2321165', 'name': 'Carolyn Kaprielian'}]"
tt0400136,https://imdb-api.com/images/original/nopicture.jpg,Aa Aa Lee Lee,(1993),,,,,,,,,,[]
tt3407278,https://m.media-amazon.com/images/M/MV5BZTAxYjFjYzAtOWE3ZC00MmRhLWI3ZWItZTdhZTEwNGNjM2ZiXkEyXkFqcGdeQXVyNjgyNTY1MjI@._V1_Ratio1.3367_AL_.jpg,Aa Aaa Ee Eee: Athanu Aame Inthalo Eeme,(2009),155 min,Drama,"[{'key': 'Drama', 'value': 'Drama'}]",,3.2,17,,"'A Aa E Ee' is a 2009 Telugu-language film directed by Srinivasa Reddy. The film stars Srikanth, Meera Jasmine, and Sadha in lead roles. Chandram (Srikanth) is an honest man and a devoted ... See full summary","Sreenivas Reddy, Sreenivass Redde, Srikanth, Meka Srikanth, Meera Jasmine, Sada","[{'id': 'tt3407278', 'name': 'Sreenivas Reddy'}, {'id': 'tt3407278', 'name': 'Sreenivass Redde'}, {'id': 'tt3407278', 'name': 'Srikanth'}, {'id': 'tt3407278', 'name': 'Meka Srikanth'}, {'id': 'tt3407278', 'name': 'Meera Jasmine'}, {'id': 'tt3407278', 'name': 'Sada'}]"
