id,image,title,description,runtimeStr,genres,genreList,contentRating,imDbRating,imDbRatingVotes,metacriticRating,plot,stars,starList
tt1630029,https://m.media-amazon.com/images/M/MV5BM2VhYjIwMDQtZjY4OS00Yjk2LWI5YjktNjQxOTE0MjE4NjBkXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_Ratio0.6837_AL_.jpg,Avatar: The Way of Water,(2022),190 min,"Action, Adventure, Fantasy","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",,,,,,,
tt12610794,https://m.media-amazon.com/images/M/MV5BY2RkNWM0OWQtYmQxYi00ZjdlLTg4ZWItYTgwNjdlYzVlZjFmXkEyXkFqcGdeQXVyNjQ2MjQ4MzQ@._V1_Ratio0.6837_AL_.jpg,Blade of the 47 Ronin,(2022),107 min,"Action, Drama, Fantasy","[{'key': 'Action', 'value': 'Action'}, {'key': 'Drama', 'value': 'Drama'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",R,4.6,463,,"Ancient Japanese Ronin warriors set 300 years after 47 Ronin, in a modern-day world where Samurai clans exist in complete secrecy.","Ron Yuan, Anna Akana, Teresa Ting, Mike Moh, Dustin Nguyen","[{'id': 'tt12610794', 'name': 'Ron Yuan'}, {'id': 'tt12610794', 'name': 'Anna Akana'}, {'id': 'tt12610794', 'name': 'Teresa Ting'}, {'id': 'tt12610794', 'name': 'Mike Moh'}, {'id': 'tt12610794', 'name': 'Dustin Nguyen'}]"
tt8912936,https://m.media-amazon.com/images/M/MV5BZTIyNzc3NzMtNGE5YS00Yjg5LTk5MDMtOTUxMzk1ZTBkOTgwXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6837_AL_.jpg,DC League of Super-Pets,(2022),105 min,"Animation, Action, Adventure","[{'key': 'Animation', 'value': 'Animation'}, {'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}]",PG,7.3,59134,56,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped.","Jared Stern, Sam J. Levine, Dwayne Johnson, Kevin Hart, Kate McKinnon, John Krasinski","[{'id': 'tt8912936', 'name': 'Jared Stern'}, {'id': 'tt8912936', 'name': 'Sam J. Levine'}, {'id': 'tt8912936', 'name': 'Dwayne Johnson'}, {'id': 'tt8912936', 'name': 'Kevin Hart'}, {'id': 'tt8912936', 'name': 'Kate McKinnon'}, {'id': 'tt8912936', 'name': 'John Krasinski'}]"
tt6710474,https://m.media-amazon.com/images/M/MV5BYTdiOTIyZTQtNmQ1OS00NjZlLWIyMTgtYzk5Y2M3ZDVmMDk1XkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_Ratio0.6837_AL_.jpg,Everything Everywhere All at Once,(2022),139 min,"Action, Adventure, Comedy","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}]",R,8.1,229937,81,"An aging Chinese immigrant is swept up in an insane adventure, in which she alone can save the world by exploring other universes connecting with the lives she could have led.","Dan Kwan, Daniel Scheinert, Michelle Yeoh, Stephanie Hsu, Jamie Lee Curtis, Ke Huy Quan","[{'id': 'tt6710474', 'name': 'Dan Kwan'}, {'id': 'tt6710474', 'name': 'Daniel Scheinert'}, {'id': 'tt6710474', 'name': 'Michelle Yeoh'}, {'id': 'tt6710474', 'name': 'Stephanie Hsu'}, {'id': 'tt6710474', 'name': 'Jamie Lee Curtis'}, {'id': 'tt6710474', 'name': 'Ke Huy Quan'}]"
tt11315808,https://m.media-amazon.com/images/M/MV5BOTNlM2E1YTYtYmUzZS00MWZhLTk3OGEtNDRlOGUxMDhkODdlXkEyXkFqcGdeQXVyNDk4NzAyNzU@._V1_Ratio0.8061_AL_.jpg,Joker: Folie à Deux,(2024),,"Action, Crime, Drama","[{'key': 'Action', 'value': 'Action'}, {'key': 'Crime', 'value': 'Crime'}, {'key': 'Drama', 'value': 'Drama'}]",,,,,,,
tt8041270,https://m.media-amazon.com/images/M/MV5BOTBjMjA4NmYtN2RjMi00YWZlLTliYTktOTIwMmNkYjYxYmE1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_Ratio0.6837_AL_.jpg,Jurassic World Dominion,(2022),147 min,"Action, Adventure, Sci-Fi","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Sci-Fi', 'value': 'Sci-Fi'}]",PG-13,5.7,145818,38,"Four years after the destruction of Isla Nublar, Biosyn operatives attempt to track down Maisie Lockwood, while Dr Ellie Sattler investigates a genetically engineered swarm of giant insects.","Colin Trevorrow, Chris Pratt, Bryce Dallas Howard, Laura Dern, Sam Neill","[{'id': 'tt8041270', 'name': 'Colin Trevorrow'}, {'id': 'tt8041270', 'name': 'Chris Pratt'}, {'id': 'tt8041270', 'name': 'Bryce Dallas Howard'}, {'id': 'tt8041270', 'name': 'Laura Dern'}, {'id': 'tt8041270', 'name': 'Sam Neill'}]"
tt5315210,https://m.media-amazon.com/images/M/MV5BYzdjMDViYTktM2QyZS00ZGNmLWFlMTctYTliZTUwMWM3YTMwXkEyXkFqcGdeQXVyMTE5MTg5NDIw._V1_Ratio0.6837_AL_.jpg,Lou,(I) (2022),107 min,"Action, Crime, Drama","[{'key': 'Action', 'value': 'Action'}, {'key': 'Crime', 'value': 'Crime'}, {'key': 'Drama', 'value': 'Drama'}]",R,6.1,20371,51,"A storm rages. A young girl is kidnapped. Her mother teams up with the mysterious woman next door to pursue the kidnapper, a journey that tests their limits and exposes shocking secrets from their pasts.","Anna Foerster, Allison Janney, Jurnee Smollett, Logan Marshall-Green, Ridley Asha Bateman","[{'id': 'tt5315210', 'name': 'Anna Foerster'}, {'id': 'tt5315210', 'name': 'Allison Janney'}, {'id': 'tt5315210', 'name': 'Jurnee Smollett'}, {'id': 'tt5315210', 'name': 'Logan Marshall-Green'}, {'id': 'tt5315210', 'name': 'Ridley Asha Bateman'}]"
tt11866324,https://m.media-amazon.com/images/M/MV5BMDBlMDYxMDktOTUxMS00MjcxLWE2YjQtNjNhMjNmN2Y3ZDA1XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_Ratio0.6837_AL_.jpg,Prey,(I) (2022),99 min,"Action, Adventure, Drama","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Drama', 'value': 'Drama'}]",R,7.2,179064,71,"Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth.","Dan Trachtenberg, Amber Midthunder, Dakota Beavers, Dane DiLiegro, Stormee Kipp","[{'id': 'tt11866324', 'name': 'Dan Trachtenberg'}, {'id': 'tt11866324', 'name': 'Amber Midthunder'}, {'id': 'tt11866324', 'name': 'Dakota Beavers'}, {'id': 'tt11866324', 'name': 'Dane DiLiegro'}, {'id': 'tt11866324', 'name': 'Stormee Kipp'}]"
tt11783766,https://m.media-amazon.com/images/M/MV5BYjM0YTFmN2EtYTQ0Ny00NmU2LTk5NmQtODhjYzhkOTVjZDA5XkEyXkFqcGdeQXVyOTI3MzI4MzA@._V1_Ratio0.7857_AL_.jpg,Ram Setu,(2022),140 min,"Action, Adventure","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}]",,5.2,8753,,An atheist archaeologist turned believer must race against time to prove the true existence of the legendary Ram Setu before evil forces destroy the pillar of India's heritage.,"Abhishek Sharma, Akshay Kumar, Jacqueline Fernandez, Nushrratt Bharuccha, Nassar","[{'id': 'tt11783766', 'name': 'Abhishek Sharma'}, {'id': 'tt11783766', 'name': 'Akshay Kumar'}, {'id': 'tt11783766', 'name': 'Jacqueline Fernandez'}, {'id': 'tt11783766', 'name': 'Nushrratt Bharuccha'}, {'id': 'tt11783766', 'name': 'Nassar'}]"
tt10872600,https://m.media-amazon.com/images/M/MV5BZWMyYzFjYTYtNTRjYi00OGExLWE2YzgtOGRmYjAxZTU3NzBiXkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_Ratio0.6837_AL_.jpg,Spider-Man: No Way Home,(2021),148 min,"Action, Adventure, Fantasy","[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Fantasy', 'value': 'Fantasy'}]",PG-13,8.3,739864,71,"With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.","Jon Watts, Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon","[{'id': 'tt10872600', 'name': 'Jon Watts'}, {'id': 'tt10872600', 'name': 'Tom Holland'}, {'id': 'tt10872600', 'name': 'Zendaya'}, {'id': 'tt10872600', 'name': 'Benedict Cumberbatch'}, {'id': 'tt10872600', 'name': 'Jacob Batalon'}]"
