id	image	title	description	runtimeStr	genres	genreList	contentRating	imDbRating	imDbRatingVotes	metacriticRating	plot	stars	starList
tt10240886	https://m.media-amazon.com/images/M/MV5BZjY2ODUyODAtODk4Zi00ZWY4LTlhYTItMzIzZjc0ZThiYTYyXkEyXkFqcGdeQXVyMTQ2OTU2OTQ@._V1_Ratio0.7041_AL_.jpg	A Cold Hard Truth	(2019)	105 min	Drama	[{'key': 'Drama', 'value': 'Drama'}]	Not Rated	7.4	125		After his cousin commits suicide, Stewart Cooper begins to unravel a web of shaming, lies, and secrets. Driven by his own emotional turmoil, he turns the tables on his cousin's ex and the man she had an affair with -- her church pastor.	Charles Murray, Reesha L. Archibald, Michael Beach, Mel Chude, Carl Gilliard	[{'id': 'tt10240886', 'name': 'Charles Murray'}, {'id': 'tt10240886', 'name': 'Reesha L. Archibald'}, {'id': 'tt10240886', 'name': 'Michael Beach'}, {'id': 'tt10240886', 'name': 'Mel Chude'}, {'id': 'tt10240886', 'name': 'Carl Gilliard'}]
tt0031011	https://m.media-amazon.com/images/M/MV5BMzJlYjhlYTYtNTk0MC00N2Y1LWIyYWUtMjcwNjI1OTE3MWQ2XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_Ratio0.6837_AL_.jpg	$1000 a Touchdown	(1939)	71 min	Comedy, Romance, Sport	[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Romance', 'value': 'Romance'}, {'key': 'Sport', 'value': 'Sport'}]	Passed	5.6	118		A show-biz couple inherit a college on the brink of bankruptcy. In a bid to increase funding they attempt to build up the college football team by offering $1,000 for every touchdown scored.	James P. Hogan, Joe E. Brown, Martha Raye, Eric Blore, Susan Hayward	[{'id': 'tt0031011', 'name': 'James P. Hogan'}, {'id': 'tt0031011', 'name': 'Joe E. Brown'}, {'id': 'tt0031011', 'name': 'Martha Raye'}, {'id': 'tt0031011', 'name': 'Eric Blore'}, {'id': 'tt0031011', 'name': 'Susan Hayward'}]
tt1024733	https://m.media-amazon.com/images/M/MV5BOTlkZTM3NWItMjVhMS00OGMzLWFkNzEtMmYzOWJmZjUwNjgwXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_Ratio0.7041_AL_.jpg	$5 a Day	(2008)	98 min	Comedy, Drama	[{'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Drama', 'value': 'Drama'}]	PG-13	6.3	3462		The son of a thrifty conman begrudgingly joins his father on the road.	Nigel Cole, Christopher Walken, Alessandro Nivola, Sharon Stone, Dean Cain	[{'id': 'tt1024733', 'name': 'Nigel Cole'}, {'id': 'tt1024733', 'name': 'Christopher Walken'}, {'id': 'tt1024733', 'name': 'Alessandro Nivola'}, {'id': 'tt1024733', 'name': 'Sharon Stone'}, {'id': 'tt1024733', 'name': 'Dean Cain'}]
tt2106284	https://m.media-amazon.com/images/M/MV5BMTY3OTI0NjY0Ml5BMl5BanBnXkFtZTgwMjUzNjQ2MDE@._V1_Ratio0.6837_AL_.jpg	$50K and a Call Girl: A Love Story	(2014)	90 min	Action, Adventure, Comedy	[{'key': 'Action', 'value': 'Action'}, {'key': 'Adventure', 'value': 'Adventure'}, {'key': 'Comedy', 'value': 'Comedy'}]	R	6.8	2163		When Ross is diagnosed with terminal brain cancer and given six weeks to live, his newly engaged older brother Seth offers to spend his $50,000 wedding fund on a final trip of a lifetime. ... See full summary	Seth Grossman, Ross Patterson, Jessie Wiseman, Lauren Aboulafia	[{'id': 'tt2106284', 'name': 'Seth Grossman'}, {'id': 'tt2106284', 'name': 'Ross Patterson'}, {'id': 'tt2106284', 'name': 'Jessie Wiseman'}, {'id': 'tt2106284', 'name': 'Seth Grossman'}, {'id': 'tt2106284', 'name': 'Lauren Aboulafia'}]
tt0379867	https://imdb-api.com/images/original/nopicture.jpg	'A Legge	(1920)		Drama	[{'key': 'Drama', 'value': 'Drama'}]						Elvira Notari, Michele Abruzzo, Carmela Bruno, Giuseppe De Blasio, Eduardo Notari	[{'id': 'tt0379867', 'name': 'Elvira Notari'}, {'id': 'tt0379867', 'name': 'Michele Abruzzo'}, {'id': 'tt0379867', 'name': 'Carmela Bruno'}, {'id': 'tt0379867', 'name': 'Giuseppe De Blasio'}, {'id': 'tt0379867', 'name': 'Eduardo Notari'}]
tt0227985	https://m.media-amazon.com/images/M/MV5BOTQxMWE5MmEtMjRmMy00NDRkLWFiN2ItMGZmMDU1MmU2ODcwXkEyXkFqcGdeQXVyNzQ1NDIxMDQ@._V1_Ratio0.7041_AL_.jpg	'A Santanotte	(1922)	60 min	Drama, Romance	[{'key': 'Drama', 'value': 'Drama'}, {'key': 'Romance', 'value': 'Romance'}]		5.4	77		Nanninella, a young girl, is exploited and abused by her father, whom she maintains with her waitress salary.	Elvira Notari, Eduardo Notari, Rosè Angione, Antonio Palmieri, Elisa Cava	[{'id': 'tt0227985', 'name': 'Elvira Notari'}, {'id': 'tt0227985', 'name': 'Eduardo Notari'}, {'id': 'tt0227985', 'name': 'Rosè Angione'}, {'id': 'tt0227985', 'name': 'Antonio Palmieri'}, {'id': 'tt0227985', 'name': 'Elisa Cava'}]
tt0351545	https://imdb-api.com/images/original/nopicture.jpg	'A peggio offesa	(1924)									Goffredo D'Andrea, Miguel Di Giacomo, Anna Pastore, Francesco Amodio, Antonio Parravicino	"[{'id': 'tt0351545', 'name': ""Goffredo D'Andrea""}, {'id': 'tt0351545', 'name': 'Miguel Di Giacomo'}, {'id': 'tt0351545', 'name': 'Anna Pastore'}, {'id': 'tt0351545', 'name': 'Francesco Amodio'}, {'id': 'tt0351545', 'name': 'Antonio Parravicino'}]"
tt1694044	https://imdb-api.com/images/original/nopicture.jpg	'A zingara	(1922)										[]
tt0085127	https://m.media-amazon.com/images/M/MV5BNDE1MGY0MjktNDhiZS00NGIxLTliYmQtYjRlNmE1NTY4YTI1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6837_AL_.jpg	Project A	(1983)	105 min	Action, Comedy	[{'key': 'Action', 'value': 'Action'}, {'key': 'Comedy', 'value': 'Comedy'}]	PG-13	7.3	17105		Fighting against pirates at the turn of the 20th century, the Hong Kong navy are failing miserably. It's up to Sergeant Lung (Jackie Chan) to take matters into his own hands.	Jackie Chan, Sammo Kam-Bo Hung, Biao Yuen, Dick Wei	[{'id': 'tt0085127', 'name': 'Jackie Chan'}, {'id': 'tt0085127', 'name': 'Sammo Kam-Bo Hung'}, {'id': 'tt0085127', 'name': 'Jackie Chan'}, {'id': 'tt0085127', 'name': 'Sammo Kam-Bo Hung'}, {'id': 'tt0085127', 'name': 'Biao Yuen'}, {'id': 'tt0085127', 'name': 'Dick Wei'}]
tt0092501	https://m.media-amazon.com/images/M/MV5BZDc0MWFiYzQtOGQ0NC00ZTU1LWFlNzktYzUzY2ZlOWQyNjNkXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_Ratio0.6837_AL_.jpg	Project A 2	(1987)	101 min	Action, Comedy, Crime	[{'key': 'Action', 'value': 'Action'}, {'key': 'Comedy', 'value': 'Comedy'}, {'key': 'Crime', 'value': 'Crime'}]	PG-13	7.0	10460		Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt Police Superintendent.	Jackie Chan, Maggie Cheung, Rosamund Kwan, Carina Lau	[{'id': 'tt0092501', 'name': 'Jackie Chan'}, {'id': 'tt0092501', 'name': 'Jackie Chan'}, {'id': 'tt0092501', 'name': 'Maggie Cheung'}, {'id': 'tt0092501', 'name': 'Rosamund Kwan'}, {'id': 'tt0092501', 'name': 'Carina Lau'}]
